Visual Apparent Magnitude of the Star,Distance Between the Star and the Earth,Standard Error of star ad earth,B-V color index,Spectral type,Absolute Magnitude of the Star,star
8.05,3.83,1.41,1.532,K5III,15.965994,Dwarf
6.45,4.97,0.51,1.321,K2III,14.931781,Dwarf
7.94,3.02,0.61,0.026,A0IV/V,15.3400345,Gaint
8.72,0.53,1.25,1.015,K0III,12.341379,Dwarf
7.99,3.25,1.25,1.373,K2III/IV,15.549417,Gaint
8.79,6.18,0.93,0.429,F3/F5V,17.744942,Gaint
9.61,5.31,1.36,0.34,F0V,18.235474,Gaint
8.6,2.27,1.3,1.399,K2III,15.380129,Dwarf
8.45,1.99,1.01,1.275,K2III,14.944265,Dwarf
8.95,1.98,1.2,0.976,K0III,15.433326,Dwarf
6.3,-0.39,0.61,0.152,B8Ia-Iab,9.255323,Dwarf
8.02,4.61,0.95,0.09,A2IV/V,16.338505,Gaint
8.75,3.61,1.13,1.48,K3/K4III,16.537537,Dwarf
8.06,5.15,1.24,1.454,K2III,16.619038,Dwarf
6.61,12.66,0.53,0.088,A0V,17.12217,Gaint
9.79,3.96,1.41,0.53,G0III,17.778477,Dwarf
8.9,1.45,1.15,1.051,G8III/IV,14.70684,Gaint
8.11,3.15,1.13,0.188,A2IIIm...,15.601553,Dwarf
9.07,9.01,0.74,0.486,F5V,18.843624,Gaint
9.1,6.74,1.41,0.648,F2V,18.2433,Gaint
9.27,2.45,1.29,0.582,F7V,16.215832,Gaint
6.91,7.03,0.71,-0.003,A0V,16.144775,Gaint
7.91,3.61,0.95,0.002,B9IV,15.697536,Gaint
8.21,3.98,1.22,0.068,B5V,16.209415,Gaint
9.2,3.95,1.3,1.279,K2V,17.182985,Gaint
8.38,4.69,1,0.425,F2III,16.735865,Dwarf
8.41,6.82,1.43,0.636,G0V,17.578922,Gaint
6.96,3.55,0.75,1.667,M2III,14.711142,Dwarf
5.85,5.2,0.57,0.827,K0/K1III+..,14.430017,Dwarf
7.66,5.42,0.58,0.463,F3II,16.329996,Dwarf
8.77,-0.56,1.17,0.45,B0III,12.510941,Dwarf
8.29,2.49,1.05,1.026,G8/K0III,15.270996,Dwarf
7.52,5.74,0.55,1.094,K0III,16.31456,Dwarf
8.77,1.31,1.14,1.326,K1/K2III,14.356358,Dwarf
7.41,5.32,0.98,0.14,A0III,16.039558,Dwarf
8.92,1.19,1.19,0.329,A8/A9III/IV,14.297735,Gaint
8.4,4.88,1.22,0.287,A1IV,16.842098,Gaint
9.12,4.02,1.49,0.522,F3V,17.14113,Gaint
5.91,56.92,0.52,0.602,G3V,19.686323,Gaint
7.53,5.94,1.11,0.01,A0V,16.398932,Gaint
8.19,3.45,1.28,1.104,K0III,15.879095,Dwarf
8.11,6.75,5.13,1.039,K1III,17.25652,Dwarf
6.57,3.97,0.75,1.422,K3III,14.563953,Dwarf
9.01,0.72,0.87,0.131,B3V,13.296663,Gaint
6.68,4.19,1.03,0.036,B3IV...,14.791071,Gaint
9.37,25.82,1.56,0.794,K0V,21.429783,Gaint
8.03,4.39,0.9,0.226,A4III,16.242321,Dwarf
9.1,8.8,1.25,0.554,F7V,18.822414,Gaint
7.79,0.64,0.73,0.116,B9II,11.8209,Dwarf
10.41,-1.95,2.04,0.093,B2Ib/II,16.860172,Dwarf
7.28,7.42,0.64,0.16,A2Vm...,16.632019,Gaint
8.28,7.63,1.26,0.852,G8V,17.692623,Gaint
9.07,0.42,1.22,0.68,K0IIIp,12.186246,Dwarf
5.92,22.67,0.59,0.415,F3IV/V,17.697258,Gaint
8.34,6.75,1.15,0.46,F2V,17.486519,Gaint
6.66,7.63,1.03,1.122,K1III,16.072622,Dwarf
8.46,3.42,0.77,1.373,K2/K3III,16.13013,Dwarf
7.94,21.72,1.04,0.76,G5V,19.624298,Gaint
6.03,14.44,0.93,0.951,K0IV,16.827837,Gaint
8.4,14.02,2.11,0.687,G5V,19.13374,Gaint
8.14,3.38,1.05,1.238,K1III,15.784584,Dwarf
7.97,6.46,0.66,1.18,K3III,17.021162,Dwarf
6.96,4.04,1.18,0.97,G8III,14.991907,Dwarf
6.66,11.63,0.61,0.442,F3/F5V,16.987898,Gaint
8.2,1.71,0.66,1.417,K3III,14.364981,Dwarf
9.11,-0.74,1.29,0.473,B8Ib,13.456158,Dwarf
8.43,2.16,1.36,1.095,K0/K1III,15.102269,Dwarf
8.18,5.16,0.74,1.333,K2III,16.743248,Dwarf
3.6,16.59,0.85,0.102,A3III,14.699232,Dwarf
7.96,3.05,0.86,1.371,K2/K3III,15.381499,Dwarf
7.21,4.4,0.66,1.036,K0III,15.427263,Dwarf
8.07,13.59,1.58,0.632,G1IV,18.736097,Gaint
9.21,6.61,1.05,0.571,G1V,18.311008,Gaint
8.45,16.58,3.96,0.759,G8V,19.547922,Gaint
8.61,0.72,1.27,0.433,F2V,12.896662,Gaint
6.01,4.98,0.62,1.319,K4III,14.496147,Dwarf
9.38,13.26,3.59,0.67,G3V,19.992718,Gaint
7.03,5.2,0.68,0.967,G8/K0III,15.610018,Dwarf
7.89,4.95,0.77,0.028,A0/A1Vn,16.363026,Gaint
7.99,5.54,0.92,1.04,K1IV,16.707548,Gaint
8.65,12.46,1.23,0.482,F5V,19.12759,Gaint
7.56,5.49,0.66,0.997,G8III,16.257862,Dwarf
7.72,2.41,1.05,1.487,K4III,14.630085,Dwarf
8.73,5.18,1.95,1.544,M3/M4III,17.301647,Dwarf
8.51,4.28,0.88,0.328,F0V,16.66722,Gaint
9.06,1.41,0.99,1.15,K1III,14.806096,Dwarf
8.37,2.29,1.02,1.615,M1III,15.169178,Dwarf
4.28,21.07,0.8,0.263,A8Vn,15.898323,Gaint
6.38,20.01,0.88,0.306,F0V,17.886234,Gaint
8.09,74.13,1.24,1.092,K3V,22.43997,Gaint
8.63,4.09,1.73,1.091,G8III,16.688618,Dwarf
8.92,0.43,1.07,1.602,K4/K5III,12.087342,Dwarf
9.65,4.9,1.46,1.01,K1/K2IV/V,18.100979,Gaint
8.12,3.73,1.43,0.037,A0V,15.978544,Gaint
7.95,3.41,0.98,1.572,K3III,15.613771,Dwarf
7.65,1.89,0.99,0.785,G3V,14.032309,Gaint
8.28,0.98,1.16,1.518,M1III,13.23613,Dwarf
7,7.05,0.54,0.869,G8III,16.240946,Dwarf
8.55,6.31,1.34,1.177,K0III,17.550148,Dwarf
7.15,7.79,0.6,0.068,A1V,16.607687,Gaint
6.94,3.53,0.72,1.522,M4III,14.678874,Dwarf
6.48,4.89,0.69,0.664,A2V,14.926544,Gaint
5.89,3.13,0.9,1.121,G2Ib,13.367722,Dwarf
2.7,6.29,0.81,-0.179,B2IV,11.693253,Gaint
9.67,2.97,1.68,0.584,F5V,17.033783,Gaint
8.28,5.35,1.23,1.167,K1III,16.921768,Dwarf
6.16,8.53,0.83,1.102,K1III,15.814745,Dwarf
7.76,1.96,1.08,0,B2II,14.221281,Dwarf
6.23,7.25,0.51,0.03,A1V,15.531691,Gaint
8.92,4.33,2.16,0.417,F3V,17.10244,Gaint
7.87,1.44,0.81,-0.069,B5Ve,13.661812,Gaint
8.44,5.96,1.02,0.549,F8V,17.31623,Gaint
8.39,22.68,1.06,0.772,G8V,20.168217,Gaint
8.68,4.61,1.17,1,K0III,16.998505,Dwarf
7.62,4.15,0.61,-0.019,B9IV,15.71024,Gaint
7.01,28.29,0.93,0.599,G2V,19.268166,Gaint
8.48,-0.11,0.98,0.012,B7IV,8.686963,Gaint
7.91,5.3,0.61,0.586,F6III,16.53138,Dwarf
8.81,4.3,1.33,0.956,G6IV,16.977343,Gaint
8.32,2.4,1.05,0.211,A5III/IVm..,15.221056,Gaint
6.09,5.41,0.79,-0.073,B7V,14.755986,Gaint
8.64,31.02,1.27,0.851,K2V,21.09821,Gaint
8.68,12.29,1.39,0.596,G3V,19.12776,Gaint
8.84,2.38,1.34,1.21,G8/K0IV,15.722885,Gaint
7.29,2.91,0.86,1.256,K2III,14.609465,Dwarf
9.03,3.2,1.13,1.271,K2III,16.55575,Dwarf
6.54,6.2,1.02,0.165,A4III,15.501958,Dwarf
7.52,3.38,0.75,1.212,K1III,15.164583,Dwarf
9.22,7.34,1,0.91,G8V,18.548481,Gaint
7.89,0.73,0.94,1.633,M3III,12.206614,Dwarf
8.12,10.92,0.98,0.408,F2V,18.311115,Gaint
6.46,6.14,0.7,0.061,A0Vn,15.400842,Gaint
6.93,6.8,0.86,0.928,G8III,16.092545,Dwarf
9.08,21.65,1.41,0.82,K1III,20.75729,Dwarf
8.65,4.85,0.84,1.03,G8/K0III,17.078709,Dwarf
6.4,2.88,0.69,0.013,B9.5V,13.696962,Gaint
7.03,14.36,0.9,0.354,F2IV-V,17.815773,Gaint
9.22,4.2,1.13,0.192,A3V,17.336246,Gaint
6.5,5.3,0.55,0.055,A3Vn,15.121379,Gaint
7.81,3.38,0.75,1.351,K2III,15.454584,Dwarf
6.1,3.54,0.6,1.506,K4III,13.8450165,Dwarf
4.86,12.79,0.75,0.904,K0III,15.394354,Dwarf
7.95,17.26,0.92,0.622,G2V,19.135204,Gaint
8.82,3.83,0.95,0.077,A1V,16.735992,Gaint
7.49,3,0.96,-0.047,B8V,14.875607,Gaint
7.24,3.59,1.59,0.091,B2Ve,15.015472,Gaint
5,1.27,0.52,0.784,F9Ia,10.519018,Dwarf
7.89,5.32,0.59,0.546,F6IV/V,16.519558,Gaint
8.03,6.45,1.02,1.03,K0III/IV,17.077797,Gaint
7.82,7.5,0.83,1.011,K0III,17.195307,Dwarf
6.22,0.8,0.57,0.008,A0Ib,10.73545,Dwarf
8.44,0.55,0.8,1.404,K3III,12.141813,Dwarf
8.44,1.15,0.8,0.028,B6V,13.743488,Gaint
8.95,6.24,1.07,0.4,F3V,17.925922,Gaint
6.64,3.39,0.59,-0.014,A0Vs,14.290998,Gaint
9.32,4.77,1.14,1.189,K2III,17.712591,Dwarf
8.53,2.84,3.15,0.039,B9V,15.796592,Gaint
7.35,1.54,0.65,1.654,M2III,13.287603,Dwarf
3.98,1.84,0.7,0.016,O7.5Iab:,10.304089,Dwarf
8.46,3.96,1.08,0.388,F2IV,16.448477,Gaint
8.75,3.97,0.76,0.039,A0V,16.743954,Gaint
5.59,6.34,0.72,-0.099,B9V,14.600447,Gaint
6.93,5.48,0.8,1.104,K2III/IV,15.623903,Gaint
8.65,14.95,2.26,0.526,F5/F6V,19.523205,Gaint
6.16,6.11,0.83,0.921,K0III,15.090206,Dwarf
8.36,5.83,1.07,0.378,F2IV,17.188343,Gaint
3.93,24.36,0.48,1.033,K0III,15.863386,Dwarf
6.4,4.72,0.78,0.968,K1II,14.769711,Dwarf
8,23.38,1,0.658,G3/G5V,19.844223,Gaint
5.37,77.69,0.86,0.625,G3/G5V,19.821827,Gaint
9.22,6.56,1.36,0.509,F3V,18.30452,Gaint
8.21,2.85,1.06,1.399,K3III,15.484224,Dwarf
7.15,4.04,0.58,1.09,K0III,15.181908,Dwarf
6.89,4.46,0.99,1.82,M6V,15.136675,Gaint
7.82,1.26,1.07,1.661,M0III,13.321853,Dwarf
7.46,0.93,0.9,1.577,K5III,12.302415,Dwarf
7.18,6.1,1.47,0.749,G0III,16.10665,Dwarf
7.87,4.13,1.24,0.03,B9V,15.94975,Gaint
9,2.89,1.54,1.067,G8III,16.30449,Dwarf
7.66,1.84,1.04,1.624,M2III,13.984089,Dwarf
4.26,22.64,0.94,1.075,G8/K0III/IV,16.034382,Gaint
8.8,2.35,0.77,1.051,K0III,15.65534,Dwarf
7.59,5.73,0.89,1.017,K0III,16.380774,Dwarf
9.03,1.57,1.07,1.421,K3III,15.009499,Dwarf
8.09,4.14,1.11,1.107,K1III,16.175003,Dwarf
6.64,4.75,0.86,1.398,K3III,15.023468,Dwarf
8.88,15.13,1.27,0.689,G8III,19.779194,Dwarf
10.33,1,1.7,0.17,A0V,15.33,Gaint
7,3.97,0.53,-0.067,B9V,14.993953,Gaint
8.47,3.39,1.15,1.075,G8III,16.120998,Dwarf
8.15,1.69,0.83,-0.02,B9IV,14.289433,Gaint
8.22,0.93,1.07,1.543,K4III,13.062415,Dwarf
4.67,39.11,1.38,0.531,G0V,17.63144,Gaint
8.63,3.16,1.24,1.076,K0III,16.128435,Dwarf
8.75,2.49,0.83,1.252,K2IIICN...,15.730997,Dwarf
7.26,3.44,1.03,1.089,K1III,14.942792,Dwarf
8.03,4.63,1.05,1.54,K3III,16.357904,Dwarf
5.91,4.5,0.93,1.615,M1III,14.176063,Dwarf
9.31,5.7,1.62,0.571,F7V,18.089375,Gaint
8.02,15.34,1.56,0.508,F7V,18.949127,Gaint
8.47,8.85,1.06,0.433,F0V,18.204716,Gaint
8.26,5.18,0.63,1.135,K2III + F/G,16.83165,Dwarf
7.23,5.66,0.91,1.673,M1III,15.9940815,Dwarf
6.29,19.81,0.87,0.462,F3/F5V,17.774422,Gaint
9.28,5.19,1.4,1.203,K2III,17.855835,Dwarf
8.72,7.33,1.2,0.506,F7V,18.04552,Gaint
10.27,0.81,1.29,0.182,A0/A1V,14.812426,Gaint
6.95,7.55,0.6,1.171,K1/K2III,16.339735,Dwarf
8.89,7.41,1.18,0.398,F0V,18.23909,Gaint
6.54,1.37,0.63,1.11,G8III,12.223602,Dwarf
5.01,8.51,0.99,1.117,K2III,14.659648,Dwarf
6.72,4.32,0.93,1.177,K0II,14.897419,Dwarf
9.68,3.94,1.62,0.414,F0V,17.657482,Gaint
7.41,10.17,0.54,0.358,F0IV,17.446604,Gaint
8.25,6.04,1,0.462,F3V,17.155186,Gaint
7.58,1.33,0.76,0.164,A0II,13.199259,Dwarf
9.63,11,1.11,0.849,K0/K1V:,19.836964,Gaint
8.58,13.2,0.78,0.549,F8/G0V,19.182869,Gaint
8.15,1.39,1.08,1.831,K4III,13.865074,Dwarf
6.81,6.21,0.62,-0.004,B9.5V,15.775457,Gaint
8.82,6.54,0.88,0.546,F8V,17.897888,Gaint
8.8,7.11,1.05,0.446,F2IV,18.05935,Gaint
7.91,5.22,0.98,1.079,K0III,16.498352,Dwarf
7.34,8.87,0.9,0.335,A8V,17.079618,Gaint
5.67,5.17,0.67,0.066,A1III/IV,14.2374525,Gaint
9.64,10.9,1.42,0.65,G3V,19.827133,Gaint
7,3.26,0.58,1.603,M1III,14.566089,Dwarf
6.82,2.65,0.81,-0.085,B5V,13.93623,Gaint
9.01,9.44,1.22,1.094,K2III,18.884861,Dwarf
8.11,2.91,1.1,1.365,K1/K2III,15.429464,Dwarf
8.19,11.5,0.9,0.435,F3/F5V,18.493488,Gaint
9.28,10.83,1.32,0.635,F8/G0V,19.45314,Gaint
9.8,29.76,1.55,1.125,K4V,22.168163,Gaint
8.26,6.09,1.04,0.385,F2III,17.183086,Dwarf
7.66,4.65,1.02,1.185,K1III,15.997265,Dwarf
6.15,46.15,0.64,0.624,G1/G2V,19.470858,Gaint
8.71,2.55,0.78,0.048,A0V,15.742701,Gaint
8.23,3.72,0.97,0.403,F0V,16.082714,Gaint
8.38,6.76,1.54,0.6,A4V,17.529734,Gaint
6.22,5.61,0.87,0.01,A1V,14.964813,Gaint
8.15,1.54,1.17,1.397,K3III,14.087604,Dwarf
6.95,5.26,0.7,0.991,K0III,15.554929,Dwarf
8.58,2.85,1.25,0.104,A2V,15.854224,Gaint
6.57,3.94,0.64,0.041,A0V,14.547482,Gaint
4.92,15.76,0.74,0.013,A0V,15.907782,Gaint
9.39,2.27,1.26,1.311,K2III,16.17013,Dwarf
2.21,2.33,0.51,-0.269,O5IAf,9.04678,Dwarf
8.44,2.97,1.29,1.235,K1III,15.8037815,Dwarf
4.55,17.63,0.54,1.177,K2III,15.781261,Dwarf
8.03,37.45,1.1,0.923,K1IV/V,20.897259,Gaint
8.99,10.95,1.52,0.617,G2V,19.18707,Gaint
8.16,1.83,1.03,-0.034,B8V,14.472256,Gaint
9.59,8.61,1.24,0.598,G3V,19.265015,Gaint
4.97,8.55,0.98,1.302,K3III,14.629829,Dwarf
4.05,13.29,0.81,1.52,K5IIIvar,14.667626,Dwarf
8.3,4.33,1.34,1.077,K1III,16.48244,Dwarf
9.32,3.95,1.28,0.49,F5V,17.302986,Gaint
7.41,1.19,0.92,1.503,M0III,12.787735,Dwarf
5.84,9.68,0.94,1.554,M1IIIvar,15.769377,Dwarf
7.32,3.52,1.01,1.626,M2III,15.052713,Dwarf
9.52,8.9,1.62,0.614,G3V,19.26695,Gaint
7.86,6.67,1.21,1.05,K0IV,16.980629,Gaint
8.04,4.09,0.82,1.186,K1/K2III,16.098618,Dwarf
8.3,4.52,1.17,1.381,K1II-III,16.575691,Dwarf
9.12,10.04,0.97,0.617,G2V,19.12867,Gaint
5.2,6.81,1.05,0.487,G0III+...,14.365735,Dwarf
8.98,1.86,1.2,1.235,K1III,15.327564,Dwarf
9.74,9.99,1.77,0.652,G5V,19.737827,Gaint
9.43,-0.06,1.33,1.76,M2III:,8.320757,Dwarf
8.21,3.86,0.95,-0.003,A0V,16.142937,Gaint
8.64,1.04,1.41,1.352,K1III,13.725167,Dwarf
6.75,8.01,0.84,1.019,K1III,16.268162,Dwarf
7.9,4.55,1.01,1.483,K2/K3III,16.190058,Dwarf
8.3,6.32,1.4,1.025,K1III,17.303585,Dwarf
7.71,5.56,0.96,0.159,A3IV/V,16.435375,Gaint
8.66,3.34,0.87,1.089,G6IV,16.278732,Gaint
8.41,9.65,0.7,0.377,F0V,18.332638,Gaint
5.3,2.55,0.59,1.508,K4II SB,12.332701,Dwarf
8.01,2.9,0.98,0.076,B8V,15.321991,Gaint
5.38,-0.6,8.71,1.652,M3III,9.270757,Dwarf
7.06,-1.52,0.85,2.397,M4III:,12.969217,Dwarf
9.36,9.74,1.43,0.67,G1V,19.302795,Gaint
7.37,3.1,0.8,1.497,K5III,14.826808,Dwarf
5.71,19.62,1.22,0.363,F2V,17.173494,Gaint
6.14,7.68,0.55,1.07,A2V+...,15.566805,Gaint
7.21,0.99,0.64,-0.002,B0.5II,12.188176,Dwarf
8.11,9.3,2.33,0.503,F3/F5V+...,17.952415,Gaint
8.1,3,0.7,1.219,K2III,15.485607,Dwarf
5.53,8.47,1.11,-0.099,B3V,15.169416,Gaint
8.36,3.3,0.66,0.975,G8III/IV,15.952569,Gaint
8.66,2.61,1.04,1.208,K0/K1III:,15.743202,Dwarf
8.17,2.26,1.02,1.365,K1/K2III,14.940542,Dwarf
3.77,21.29,0.93,0.983,G8III,15.410877,Dwarf
8.76,0.47,0.92,1.618,M1III,12.120489,Dwarf
8.27,2.16,1,1.023,G6IV,14.942269,Gaint
8.47,5.57,1.15,1.039,K0III,17.199276,Dwarf
8.6,3.19,1.36,0,B8IV/V,16.118954,Gaint
8.52,4.13,1.33,0.26,F2V,16.59975,Gaint
8.94,3.02,2.86,1.039,K0III,16.340034,Dwarf
7.16,12.3,0.92,0.449,F4V,17.609526,Gaint
3,22.21,0.68,1.144,K1III,14.732742,Dwarf
8.98,9.76,1.29,0.403,F3V,18.92725,Gaint
8.89,1.75,2.85,0.106,B7/B8IV,15.10519,Gaint
7.7,27.88,0.68,0.79,K0V,19.926464,Gaint
9.23,10.85,1.17,0.563,G3III,19.407148,Dwarf
9.14,-0.01,1.34,1.6,C5II,4.1400003,Dwarf
6.98,3.88,0.61,1.515,K3III,14.924159,Dwarf
9.04,8.98,0.93,0.546,F7V,18.806381,Gaint
7.58,11.71,0.63,0.446,F3V,17.922783,Gaint
9.06,3.47,1.33,0.509,F6V,16.761648,Gaint
8.92,8.11,1.36,0.577,F8/G0V,18.465105,Gaint
8.2,1.13,0.67,1.529,M3III,13.465392,Dwarf
9.44,8.48,1.73,0.655,G0V,19.081978,Gaint
8.88,1.3,1.18,1.346,K2III,14.449717,Dwarf
8.73,7.02,1.06,0.599,G0V,17.961685,Gaint
8.3,1.76,1.09,1.274,K1IIICN...,14.527564,Dwarf
8.06,15.76,2.25,0.75,G5IV...,19.047783,Gaint
9.97,7.18,2.99,0.409,F0V,19.250622,Gaint
10.03,16.57,1.36,0.978,K0/K1V,21.126612,Gaint
7.05,2.26,0.84,1.862,K5III,13.820542,Dwarf
8.03,9.53,1.19,0.515,K0:III:+...,17.925465,Dwarf
9.26,2.85,1.39,0.479,F5V,16.534225,Gaint
8.94,2.79,0.83,1.779,M1III,16.16802,Dwarf
10.1,2.09,2.11,0.84,G5III,16.700733,Dwarf
8.46,4.31,1.22,1.13,K0V,16.632385,Gaint
4.39,10.15,0.6,1.597,M4III SB,14.422329,Dwarf
8.88,3.54,1.15,1.091,K0III,16.625015,Dwarf
8.12,4.16,1,1.102,K0III,16.215466,Dwarf
6.05,4.22,1.25,1.385,K2/K3III,14.176562,Dwarf
8.22,6.53,0.94,0.3,A9V,17.294567,Gaint
8.64,1.34,1.27,1.212,K1III,14.275524,Dwarf
8.58,3.38,0.82,1.158,K1III,16.224583,Dwarf
6.3,3.24,0.8,1.173,K0/K1II,13.852725,Dwarf
8.12,4.38,0.61,0.118,A2/A3III,16.32737,Dwarf
8.45,1.62,1.59,1,G6III,14.497575,Dwarf
8,4.35,0.75,0.435,B4V,16.192446,Gaint
9.23,2.87,1.29,1.039,K1III,16.51941,Dwarf
8.56,2.8,0.79,0.287,A8IV,15.795791,Gaint
5.74,1.48,0.75,1.736,K4Ib,11.591309,Dwarf
7.96,11.84,1.16,0.421,F2/F3V,18.32676,Gaint
9.15,0.14,1.1,1.157,K3III,9.88064,Dwarf
6.55,29.93,0.55,0.541,F8V:,18.930534,Gaint
6.98,-0.14,0.68,0.918,F4Iab:,7.7106404,Dwarf
6.23,7.68,0.53,-0.006,A0V,15.656805,Gaint
9.34,2.09,1.81,0.932,G8IV/VCN...,15.940732,Gaint
9.4,9.35,1.63,0.54,F7V,19.254059,Gaint
8.25,2.9,0.96,1.039,K0III,15.561991,Dwarf
5.79,3.12,0.49,1.717,M2/M3III,13.260773,Dwarf
7.94,0.44,0.77,1.435,K4III,11.157263,Dwarf
8.82,2.19,0.79,0.317,F0V,15.522221,Gaint
8.76,5.54,1.18,0.462,F3IV/V,17.477549,Gaint
7.84,14.21,1.19,0.654,G3/G5V,18.60297,Gaint
7.89,2.52,1.04,0.054,B9IV,14.897003,Gaint
7.03,7.97,0.9,1.091,K0IV,16.537292,Gaint
8.34,5.97,1,0.973,K0IIICN...,17.219872,Dwarf
7.45,5.59,0.58,0.36,F0IV,16.18706,Gaint
7.61,3.76,0.98,1.09,K1III,15.485939,Dwarf
8.34,5.28,1.1,1.33,K2III,16.95317,Dwarf
8.47,9.69,1.07,0.463,F5V,18.401619,Gaint
9.84,6.45,1.95,0.831,G8/K0V,18.887798,Gaint
7.63,7.79,1.18,0.962,K0III,17.087688,Dwarf
8.96,5.4,1.49,1.16,K0III,17.621967,Dwarf
3.88,17.89,1.26,-0.029,B9V,15.143051,Gaint
8.91,7.11,1.28,0.866,G8V,18.169348,Gaint
9.31,2.44,1.37,1.133,K1III,16.24695,Dwarf
9.65,0.42,2.64,0.87,F0Iab:,12.766246,Dwarf
9.01,8.85,1.02,0.62,G0V,18.744717,Gaint
7.78,1.75,0.88,1.516,K4III,13.995191,Dwarf
1.97,7.56,0.48,0.636,F7:Ib-IIv SB,11.362609,Dwarf
6.28,2.33,0.55,1.613,M2III,13.116779,Dwarf
9.4,6.83,1.1,0.608,G3V,18.572104,Gaint
2.45,1.02,0.57,-0.083,B5Ia,7.493001,Dwarf
6.7,4.8,1.05,-0.01,B9.5/A0III,15.106206,Dwarf
5.68,11.14,0.67,1.116,K0III,15.914427,Dwarf
8.55,4.64,2.02,0.29,A8/A9V,16.882591,Gaint
9.83,9.96,1.89,0.63,G2V,19.821297,Gaint
8.02,5.52,1.03,1.094,K0III,16.729696,Dwarf
8.97,6.02,1.26,0.481,F5V,17.867983,Gaint
8.22,8.93,1.45,0.34,A8III/IV,17.974258,Gaint
8.59,2.3,1.25,0.391,F0III,15.39864,Dwarf
6.13,2.21,1.02,1.404,G9II,12.851961,Dwarf
8.34,3.73,0.93,1.404,K2III,16.198544,Dwarf
6.05,29.31,0.92,0.479,F5V,18.385078,Gaint
8.04,0.08,1,1.51,K4III,7.55545,Dwarf
6.17,7.02,0.84,0.968,K1III,15.401686,Dwarf
8.4,1.88,1.18,1.27,K0III:,14.770789,Dwarf
6.25,5.34,0.77,1.368,K4IIIb,14.887706,Dwarf
10.24,1.86,1.75,-0.146,B3V,16.587564,Gaint
7.05,6.57,0.86,1.05,K1III,16.137829,Dwarf
9.66,7.43,1.91,0.522,F8/G0V,19.014944,Gaint
8.32,10.49,0.97,0.468,F3V,18.423876,Gaint
5.49,10.51,0.93,0.87,G8III,15.598013,Dwarf
5.08,5.77,0.97,-0.125,B3V,13.8858795,Gaint
9.12,5.42,1.65,0.574,F7V,17.789997,Gaint
8.09,5.06,0.66,1.109,K1III,16.610752,Dwarf
3.11,23.54,0.81,1.232,K0/K1III,14.969033,Dwarf
8.2,2.93,0.84,0.224,A8V,15.534338,Gaint
4.43,3.13,0.51,-0.15,B2.5IV,11.907722,Gaint
7.67,7,0.85,0.407,F2II,16.89549,Dwarf
8.85,9.32,0.83,0.608,G3V,18.697079,Gaint
8.26,2.4,2.52,0.985,K0III,15.1610565,Dwarf
7.89,9.38,1.45,0.423,F5V,17.751013,Gaint
7.81,4.86,0.9,0.942,K0III,16.243181,Dwarf
6.96,10.09,0.57,0.201,A7III/IV,16.979456,Gaint
8.26,2.96,1.53,0.2,B9IV,15.616459,Gaint
8.6,6.36,1.97,0.421,A1V,17.617287,Gaint
8.55,2.78,1.13,1.461,K4III,15.770225,Dwarf
7.87,9.22,0.87,0.221,A7V,17.693655,Gaint
6.3,3.05,0.51,1.612,M1III,13.721499,Dwarf
7.73,11.82,0.99,0.471,F5V,18.093088,Gaint
9.02,7.14,1,0.406,F2V,18.288492,Gaint
5.89,17.65,0.78,0.553,F8V,17.123722,Gaint
7.38,9.9,0.61,0.574,F8III,17.358177,Dwarf
8.86,3.39,1.39,1.241,K0III,16.510998,Dwarf
5.92,9.72,0.76,0.957,G8/K0III,15.858332,Dwarf
4.63,3.34,0.59,1.632,K5III,12.248733,Dwarf
9.31,6.24,1.11,0.555,F7/F8V,18.285923,Gaint
8.91,13.3,1.37,0.575,G0V,19.529259,Gaint
6.72,5.68,0.53,1.018,K0III,15.491741,Dwarf
7.64,12.16,1.91,0.1,F6V,18.064667,Gaint
8.46,13.23,1.46,0.566,G1V,19.067799,Gaint
10.06,4.88,1.58,0.769,G5V,18.502098,Gaint
9.08,9.07,1.36,0.592,F6/F7V,18.868036,Gaint
8.65,5.72,0.78,0.353,F0IV/V,17.43698,Gaint
8.82,1.17,0.86,0.949,G8III,14.160929,Dwarf
8.9,11.47,1.17,0.658,G1V,19.197817,Gaint
8.75,5.83,1.02,0.401,F2IV,17.578342,Gaint
4.55,1.32,0.72,0.489,A0Ia SB:,10.15287,Dwarf
6.84,6.48,0.67,-0.019,B9IV,15.897875,Gaint
6.87,-1.15,0.64,0.494,B5Ia,12.173489,Dwarf
8.12,2.15,1.05,2.53,C5II,14.782192,Dwarf
4.71,7.69,0.76,-0.109,B6III,14.139632,Dwarf
8.59,10.16,0.82,0.466,F3/F5V,18.624468,Gaint
6.7,4.52,0.55,1.363,K1III,14.975692,Dwarf
7.81,58.96,1.05,1.036,K3V,21.662786,Gaint
8.88,3.12,0.73,0.026,B9Vn...,16.350773,Gaint
7.39,7.21,1.84,0.217,A3III,16.679676,Dwarf
8.06,2.88,1.01,-0.089,B8III,15.356963,Dwarf
7.35,-1.33,0.98,1.604,K3III,12.969258,Dwarf
6.25,9.13,0.59,1,K1IIICN...,16.052353,Dwarf
8.85,2.01,1.43,1.14,K1/K2III,15.36598,Dwarf
8.03,8.73,0.69,0.456,F5V,17.735071,Gaint
7.9,5.73,0.71,1.193,K3III,16.690773,Dwarf
